X,Y,Z,object_name
52.63528747,62.98151728,12.20398243,Blue_Berry_Elder.usd
52.42323618,62.64547691,12.22839861,Golden_Chain.usd
52.64210946,62.86284536,12.22210017,Common_Apple.usd
83.8608606,10.30223796,1.983697393,Common_Apple.usd
31.29985805,29.88623575,10.19237745,Fraxinus.usd
77.73779715,17.8937163,3.568785394,Blue_Berry_Elder.usd
40.4161342,35.00848901,10.00077695,Common_Apple.usd
9.647162549,7.483151485,10.75133325,American_Beech.usd
16.69228237,62.68488992,12.41912707,Common_Apple.usd
27.36221748,21.05250517,11.29555263,Golden_Chain.usd
7.750542729,42.01860236,9.507641142,Fraxinus.usd
1.213291901,34.48516849,9.090994251,Golden_Chain.usd
2.110974659,71.24546265,17.1659676,American_Beech.usd
14.88181405,52.74118054,10.18553859,Common_Apple.usd
27.61235267,69.44911382,11.500486,Fraxinus.usd
93.05890441,62.82210857,3.523828808,Fraxinus.usd
37.79231734,74.38215729,10.86484165,Common_Apple.usd
24.82808868,4.022217703,9.77409729,American_Beech.usd
23.55289262,75.4719606,13.17474351,Common_Apple.usd
14.46544072,59.81436003,12.06976901,Fraxinus.usd
59.02945859,9.163054163,5.110467538,American_Beech.usd
30.89717595,27.05994414,10.63336189,Blue_Berry_Elder.usd
16.04567159,11.59092563,11.7672465,Blue_Berry_Elder.usd
15.80678386,11.22685619,11.75671815,Blue_Berry_Elder.usd
52.94259638,24.14907687,6.032845017,Fraxinus.usd
52.78923713,24.04327057,6.048513097,Common_Apple.usd
69.09914369,38.34259845,6.069039879,Blue_Berry_Elder.usd
28.723626,33.66153509,9.53237341,Blue_Berry_Elder.usd
44.70503386,49.64152397,10.74772382,Golden_Chain.usd
68.07691838,22.4491616,5.21452576,Common_Apple.usd
23.86978777,55.09471067,9.811354103,Fraxinus.usd
24.07493637,55.15967305,9.803707112,American_Beech.usd
71.85184636,37.60405647,5.99532005,American_Beech.usd
71.69371669,37.97284958,6.067164604,American_Beech.usd
56.11130539,30.92797776,6.260628873,American_Beech.usd
51.06033076,89.69812489,10.54989647,Golden_Chain.usd
98.17950462,33.7628372,0.350962205,Golden_Chain.usd
56.19521461,50.90213673,10.38641539,Golden_Chain.usd
56.35597352,50.51693622,10.2638047,Fraxinus.usd
30.07234702,11.78380856,9.58147407,Common_Apple.usd
2.15611915,83.06558307,18.44175326,Fraxinus.usd
69.10887749,70.082919,7.84143662,Blue_Berry_Elder.usd
75.20804099,30.57833493,5.235951837,American_Beech.usd
75.42246472,30.9772929,5.148139708,Golden_Chain.usd
42.1818362,49.67691796,10.26123339,Fraxinus.usd
23.32752015,84.04521784,14.00037654,Blue_Berry_Elder.usd
32.17679718,82.45869011,12.482507,Fraxinus.usd
66.09929518,75.67119622,8.369202823,Blue_Berry_Elder.usd
82.54836222,35.80897476,3.648433936,American_Beech.usd
32.21309351,80.8161724,12.24425319,American_Beech.usd
30.22137878,83.13845304,12.68302122,Fraxinus.usd
1.0243,8.552725325,9.795727201,Blue_Berry_Elder.usd
100.2746793,85.19770868,2.202001768,Common_Apple.usd
45.3684671,27.4394526,7.461352172,Blue_Berry_Elder.usd
45.69022559,27.53656068,7.426035646,Golden_Chain.usd
45.97519011,27.20119734,7.300916605,Fraxinus.usd
45.58962337,28.24996813,7.590073872,Fraxinus.usd
45.16241679,27.91771652,7.608291764,Fraxinus.usd
5.709598674,95.44282244,19.33929437,Common_Apple.usd
29.17483269,97.94290234,15.40576638,American_Beech.usd
5.638416943,27.29644063,9.227590864,American_Beech.usd
64.55089728,92.36315671,9.005669751,American_Beech.usd
13.60525866,18.73034177,10.31171056,Fraxinus.usd
51.53537309,61.91632995,12.13655,Golden_Chain.usd
43.38588391,53.72205876,10.61138691,Blue_Berry_Elder.usd
85.18890585,77.41510921,4.338170744,Fraxinus.usd
11.98167905,19.26455651,10.04436495,American_Beech.usd
12.06239006,19.05021678,10.08492111,Common_Apple.usd
52.53513895,69.03531053,11.59354731,Common_Apple.usd
28.55101945,57.97215722,9.705513111,Fraxinus.usd
28.34645808,57.72677457,9.690852575,American_Beech.usd
28.25897195,57.55690221,9.67710941,Common_Apple.usd
28.76231923,57.58274088,9.644098592,Fraxinus.usd
13.73684943,93.74490657,16.99495171,American_Beech.usd
74.29204715,82.55334462,5.908440194,Blue_Berry_Elder.usd
27.49272978,35.72268372,9.405485274,American_Beech.usd
10.6322418,42.0803855,9.536122269,American_Beech.usd
5.704259072,98.4617721,19.72748935,Golden_Chain.usd
43.70384307,56.31512828,10.71607822,Common_Apple.usd
67.03104829,33.94740521,5.68625886,Fraxinus.usd
52.15567081,38.25362889,8.614582346,Common_Apple.usd
86.34672341,43.10946756,3.067145706,American_Beech.usd
85.72511664,42.63749395,2.998052864,Blue_Berry_Elder.usd
76.92802774,91.6522123,5.482679876,Golden_Chain.usd
69.51739832,18.72827469,5.13319871,Common_Apple.usd
69.56190636,18.89598475,5.159225475,American_Beech.usd
65.39062832,30.16240606,5.373278008,Blue_Berry_Elder.usd
82.68907184,37.53680541,3.580511102,Common_Apple.usd
78.73117957,48.85831724,5.208471735,Blue_Berry_Elder.usd
97.38600692,52.54420577,1.499476648,Blue_Berry_Elder.usd
34.63324744,58.72984046,9.668423869,Golden_Chain.usd
34.48443492,59.22993512,9.670595503,Common_Apple.usd
84.18439135,51.88767369,4.176582668,Blue_Berry_Elder.usd
83.26692731,44.31518162,3.690507075,Fraxinus.usd
